Title;Publication date;Journal;Authors;URL;DOI;Method name;Programming language;Category;Strategy;ST counts;ST pp;ST coordinates;ST coordinates integration;Reference-based / Reference-free;Reference;Reference pp;Image;Image integration;Main output;ST distribution;SC distribution;Batch/platform correction;Downstream analysis;Other;Type;Datasets;Benchmark;Metrics;Code;Tutorials;State;Remarks;Harmonization;;;;
Joint cell type identification in spatial transcriptomics and single-cell RNA sequencing data;March-24;bioRxiv;Agnieszka Geras, Kacper Domżał and Ewa Szczurek;https://www.biorxiv.org/content/10.1101/2023.05.29.542559v4;10.1101/2023.05.29.542559;ST-assign;Python;Bayesian;Jointly performs cell-type annotation in scRNA-seq data and cell-type mixture decomposition in ST spots. The model is generative and considers the dependency of the observed gene expression on hidden variables such as the cell type assignment and cell type mixtures’ composition. Conditional probability distributions expressing the dependence structure were used to develop the model’s inference procedure via MCMC, specifically the Metropolis-within-Gibbs algorithm.;Yes;-;No;-;Reference-based;scRNA-seq dataset, List of marker genes;They omitted cells with a total expression below 20.;No;-;Counts;Poisson;NB;Platform effect;-;-;Real data, Semi-synthetic from SC;"ST: Visium V1_Mouse_Brain_ Sagittal_Anterior dataset; scRNAseq: covers all regions of an adolescent mouse brain (http://mousebrain.org/adolescent/); ST data also simulated from scRNA-seq dataset on the mouse brain cortex";Celloscope, CellAssign;PCC;https://github.com/szczurek-lab/ST-Assign;-;Done (Luca).;;HARMONISED;;;;
Starfysh integrates spatial transcriptomic and histologic data to reveal heterogeneous tumor–immune hubs;March-24;Nature Biotechnology;Siyu He, Yinuo Jin, Achille Nazaret, Lingting Shi, Xueer Chen, Sham Rampersaud, Bahawar S. Dhillon, Izabella Valdez, Lauren E. Friend, Joy Linyue Fan, Cameron Y. Park, Rachel L. Mintz, Yeh-Hsing Lao, David Carrera, Kaylee W. Fang, Kaleem Mehdi, Madeline Rohde, José L. McFaline-Figueroa, David Blei, Kam W. Leong, Alexander Y. Rudensky, George Plitas and Elham Azizi;https://www.nature.com/articles/s41587-024-02173-8;10.1038/s41587-024-02173-8;Starfysh;Python;Bayesian;Defines anchor spots in ST data representative of cell types or states with the aid of archetypal analysis. Starfysh then uses variational inference to construct a low-dimensional representation z with a mixture distribution that combines the cell type proportions and the cell type-specific representations. They also construct a low-dimensional representation z' of the spot-level histology image and aggregate it with z by performing a Product of Experts (PoE). The aggregated latent space is then used to reconstruct both the histology image and the ST data.;Yes;filtering out ribosomal and mitochondrial genes. Selection of the top 2,000 highly variable genes including specified marker genes.;No;-;Both;List of marker genes (built-in from ST and/or provided);-;Optional;Integrates histology to correct for artifacts in transcriptomic measurements. A product of experts calculates the joint posterior distribution for gene expression and images.;Proportions;NB;-;-;Jointly integrates multiple samples and characterizes spatial ‘hubs’ and further infers cell–cell interactions within each hub;-;Real data, Semi-synthetic from SC;"Construction of ST simulations using mixtures of scRNA-seq data previously collected from primary TNBC tumor tissues (CID44971_TNBC); scRNA-seq data : Breast cancer dataset from Wu et al.; 10x Visium : Public mouse brain and lymph node datasets from Kleshchevnikov et al.; Public prostate cancer data (ST data and HE images)";DestVI, Cell2location, Tangram, BayesPrism, CARD, BayesTME and STdeconvolve;RMSE, JSD;https://github.com/azizilab/starfysh;On github;Done (Luca).;;HARMONISED;;;;
De novo analysis of bulk RNA-seq data at spatially resolved single-cell resolution;October-22;Nature Communications;Jie Liao, Jingyang Qian, Yin Fang, Zhuo Chen, Xiang Zhuang, Ningyu Zhang, Xin Shao, Yining Hu, Penghui Yang, Junyun Cheng, Yang Hu, Lingqi Yu, Haihong Yang, Jinlu Zhang, Xiaoyan Lu, Li Shao, Dan Wu, Yue Gao, Huajun Chen and Xiaohui Fan;https://www.nature.com/articles/s41467-022-34271-z;10.1038/s41467-022-34271-z;Bulk2space;Python;Deep learning;Generates SC transcriptomic data within a clustering space with a β-VAE architecture to find a set of cells whose aggregated data is proximate to a given bulk dataset. Next, the generated single cells are allocated to optimal spatial locations of sequencing-based (with least square estimation) or imaging-based ST data (with similarity calculation).;Yes;Normalization using the global-scaling normalization method “LogNormalize” by Seurat;No;-;Reference-based;Gene signature (built-in from scRNA-seq);Filtering of ambiguous and unstable cells, normalization using the global-scaling normalization method “LogNormalize” by Seurat.;No;-;Counts, Single-cell gene expression;-;-;Platform effect;-;-;Real data, Semi-synthetic from SC;"Five human scRNA-seq datasets including peripheral blood, brain, kidney, liver, and lung. Five mice scRNA-seq datasets including brain, kidney, lung, pancreas, and testis. Also Eight human pancreas scRNA-seq. MERFISH data of the mouse hypothalamic preoptic region at bregma 0.26; slideseq v2 data of the mouse hippocampus region; 10X Visium data of the mouse anterior cortex and posterior cortex regions; human prostate cancer using “Spatial Transcriptomics”.";Compare with other structures : GAN, CGAN, Linear regression. Compare with other methods : RCTD, SpatialDWLS, stereoscope, SPOTlight;PCC, SCC, RMSE;https://github.com/ZJUFanLab/bulk2space;On github;Done (Luca).;;HARMONISED;;;;
RETROFIT: Reference-free deconvolution of cell-type mixtures in spatial transcriptomics;June-23;bioRxiv;Singh R, He X, Park AK, Hardison RC, Zhu X and Li Q.;https://www.biorxiv.org/content/10.1101/2023.06.07.544126v1;10.1101/2023.06.07.544126;RETROFIT;R;Bayesian;Decomposes the ST data into latent components with NMF models. Then, they match these latent components to known cell types using either a cell-type-specific gene expression reference (with correlation calculation) or a list of marker genes (with marker expression score calculation).;Yes;-;No;-;Reference-free;-;-;No;-;Proportions;Poisson;-;-;Annotation with a scRNA-seq reference or a list of marker genes;-;Real data, Semi-synthetic from SC;"mouse cerebellum Slide-seq dataset, and scRNA-seq dataset; 10x Visium dataset of human intestinal development (3 tissue slides) and scRNA-seq data;";NMFreg, stereoscope, SPOTlight, RCTD, STdeconvolve;RMSE, NRMSE, PCC;https://github.com/qunhualilab/retrofit;https://bioconductor.org/packages/release/bioc/html/retrofit.html;Done (Luca).;;HARMONISED;;;;
Spatially informed clustering, integration, and deconvolution of spatial transcriptomics with GraphST;March-23;Nature Communications;Long Y, Ang KS, Li M, Chong KLK, Sethi R, Zhong C, Xu H, Ong Z, Sachaphibulkij K, Chen A, Zeng L, Fu H, Wu M, Lim LHK, Liu L and Chen J.;https://www.nature.com/articles/s41467-023-36796-3;10.1038/s41467-023-36796-3;GraphST;Python;Deep learning;After pre-processing of data, constructs a graph based on spatial location and transcriptome. Then implements graph self-supervised contrastive learning to learn spots representation (data augmentation + GCN encoder+refinement with self-supervised contrastive learning). Input SC data  in multiple-layer NN to learn cell representation. ST and SC are integrated by learning a mapping matrix with augmentation free contrastive learning. Finally,  perform transfer of annotation as probabilities from mapping matrix. ;Yes;Scanpy workflow: library size and log1p normalization, scaling to unit variance and zero mean, selection of top 3000 HVG. Used common HVG with SC;Yes;KNN graph, Adjacency matrix ;Reference-based;scRNA-seq dataset;Same as ST, top 3000 HVG are used as input to the model for cell type representation learning. Used common HVG with ST;No ;-;Mapping, Proportions;-;-;-;Clustering, Horizontal/vertical integration, Functional enrichment;Mapping matrix is acutally independent of cell type annotation;Real data, Semi-synthetic from SC;"Mouse breast cancer (Visium), Human DLPFC (Visium), Mouse visual cortex (seqFISH+), Mouse visual cortex (STARMAP)
Human lymph nodes (Visium), Mouse Brain anterior section (Visium),  Human Breast Cancer (Visium), ";Cell2location;SSIM, RMSE, PCC, JSD;https://github.com/JinmiaoChenLab/GraphST;https://deepst-tutorials.readthedocs.io/en/latest/;Done. (Lucie);"GraphST is DeepST
DeepST = pre-print
GraphST = publication";HARMONISED;;;;
Cell composition inference and identification of layer-specific spatial transcriptional profiles with POLARIS;March-23;Science Advances;Chen J, Luo T, Jiang M, Liu J, Gupta GP and Li Y.;https://www.science.org/doi/10.1126/sciadv.add9818;10.1126/sciadv.add9818;POLARIS;Python;Bayesian;Models scRNA-seq and ST data with NB distribution and introduces layer specific parameters in the NB model derived from manually or computational annotation of spatial data. It then performs layer-specific inference of the parameters using MAP estimation. It can adjust to integrate image using masked autoencoder and image network.;Yes;"Standard pipeline with QC, intersection of SC and ST and selection of HVG (top 2000)
Annotation in layer (pathology or computational)
";Yes;Layer-specific parameter (mean shift in distribution model);Reference-based;Gene signature (built-in from scRNA-seq);Standard pipeline with QC, intersection of SC and ST and selection of HVG (top 2000);Optional;Feature extraction with masked autoencoder (MAE) from facebook/mae for spot and neighborhood. Then built an image network that combined two levels of fully connected layers and give as output the number of cell types. ;Proportions ;NB;NB;Platform effect;Identification of layer-wise DE, Imputation of cell-type composition from independent histological image, Super-resolution cell composition inference with histology;-;Real data, Synthetic;Mouse primary somatosensosry cortex (Visium), Mouse primary visual cortex (STARMAP), Human Developmental heart (Visium), Human Breast cancer (Visium);SPOTlight, CARD, DestVI, RCTD, steteoscope;RMSE;https://github.com/JiawenChenn/POLARIS;On github;Done. (Lucie);;HARMONISED;;;;
Spatial charting of single-cell transcriptomes in tissues;March-22;Nature Biotechnology;Runmin Wei, Siyuan He, Shanshan Bai, Emi Sei, Min Hu, Alastair Thompson, Ken Chen, Savitri Krishnamurthy and Nicholas E. Navin;https://www.nature.com/articles/s41587-022-01233-1;10.1038/s41587-022-01233-1;CellTrek;R;Regression;Creates a co-embedding of ST and scRNA-seq data. They train a multivariate RF model based on ST data to then derive RF similarity matrix between SC and spots. Based on the matrix, they compute MNN graph (spot-cell) and assign location to cell. ;Yes;Standard Seurat pipelinenormalization, PCA analysis. Co-embedding into PCA space, selection of integration features jointly with SC data;Yes;Train multivariate RF with [X,Y] ~ PCs;Reference-based;scRNA-seq dataset;Standard Seurat pipelinenormalization, PCA analysis. Co-embedding into PCA space, selection of integration features jointly with SC data. Prior to feature selection, cell-type calling;No;-;Mapping;NB;NB;-;Co-localization, Co-expression, pseudo-time analysis, spatial clone analysis, Functional enrichment, signature scoring;Rely on TransferAnchor function of Seurat for co-embedding. ;Real data, Semi-synthetic from SC;Mouse Brain Cortex (Visium), Mouse hippocampus (Slide-seq), Mouse Kidney (Visium), Human Breast cancer (Visium), Drosophilia embryo (FISH), Mouse embryo (SeqFISH), ;-;KLD, K-distance;https://github.com/navinlabcode/CellTrek;On github;Done.(Lucie);;HARMONISED;;;;
TACCO unifies annotation transfer and decomposition of cell identities for single-cell and spatial omics;February-23;Nature Biotechnology;Simon Mages, Noa Moriel, Inbal Avraham-Davidi, Evan Murray, Jan Watter, Fei Chen, Orit Rozenblatt-Rosen, Johanna Klughammer, Aviv Regev and Mor Nitzan;https://www.nature.com/articles/s41587-023-01657-3;10.1038/s41587-023-01657-3;TACCO;Python;Optimal transport;A labeled reference dataset (SC) and a new dataset (ST) are first presented in a common high-dimensional space (expression space). TACCO represents the reference categories by one or multiple representative profiles. They use semi-unbalanced entropic OT to transfer annotations from the reference categories to the new dataset.;Yes;Depending on technology (i.e osmFISH data). Model expect unormalized count data;No;-;Reference-based;scRNA-seq dataset;Expect unormalized counts data. But annotated SC reference;No;-;Proportions, Single-cell gene expression;NB;NB;Platform effect;Colocalization, Spatial relationship analysis,  spatial regions definition, enrichment of compositional annotations, object splitting for categorical dowstream analysis;"Also subclustering with multiple centers to capture within-class heterogeneity and bisectioning for recursive annotation

Scale to big dataset

Robust to dropouts, ambient RNA and continuous annotations";Real data, Semi-synthetic from SC;Mouse colon (Slide-seq), Mouse olfactory bulb (Slide-seq), Mouse Brain Cortex (osmFISH);NMFReg, RCTD, SingleR, WOT, SVM, Tangram, NovoSparc;Fraction of correctly annotated cells, L2 error;https://github.com/simonwm/tacco;On github;Done.(Lucie);;HARMONISED;;;;
Revealing spatial multimodal heterogeneity in tissues with SpaTrio;December-23;Cell Genomics;Yang P, Jin L, Liao J, Jin K, Shao X, Li C, Qian J, Cheng J, Yu D, Guo R, Xu X, Lu X and Fan X.;https://www.sciencedirect.com/science/article/pii/S2666979X23002811?via%3Dihub;10.1016/j.xgen.2023.100446;SpaTrio;Python/R;Optimal transport;Aligns SC multi-omics and spatial data with OT by mimimizing transcriptomics dissimilarity and difference in KNN graph distance computed on low-embedding of SC multi-omics and spatial coordinates. The cell type assignment is performed by NNLS deconvolution that prioritize alignment.;Yes;Common gene filtering with scRNA-seq with selection of HVG.  Scanpy/Seurat workflow: normalization, PCA analysis, and non-linear dimensionality reduction using UMAP. ;Yes;KNN graph ;Reference-based;Gene signature (built-in from scRNA-seq);"Common gene filtering with scRNA-seq with selection of HVG. ,Top 100 genes of each cell type advised,
Scanpy/Seurat workflow: normalization, PCA analysis, and non-linear dimensionality reduction using UMAP. Compute KNN graph in low-embedding";No;-;Mapping, Proportions;NB;NB;-;Multi-omics analysis, Multi-modal cell-cell interaction, Spatial patterns, Spatial gene regulation, Spatio-temporal patterns;Model counts as expected in Seurat/Scanpy;Real data, Semi-synthetic from SC;Mouse embryo (DBIT-seq), Mouse spleen (SPOTS), Mouse Liver (Visium), Mouse Embryo (Slide-tags), Human Hippocampus (Slide-tags), Mouse Brain Cortex (Visium),Human Breast Cancer (SPOTS), Human Breast Cancer (Visium);Tangram, CARD, Seurat;ARI, Mapping Accuracy, Allocation Accuracy, RMSE, PCC, SCC;https://github.com/ZJUFanLab/SpaTrio;On github;Done.(Lucie);;HARMONISED;;;;
Cell2location maps fine-grained cell types in spatial transcriptomics;January-22;Nature Biotechnology;Vitalii Kleshchevnikov, Artem Shmatko, Emma Dann, Alexander Aivazidis, Hamish W. King, Tong Li, Rasa Elmentaite, Artem Lomakin, Veronika Kedlian, Adam Gayoso, Mika Sarkin Jain, Jun Sung Park, Lauma Ramona, Elizabeth Tuck, Anna Arutyunyan, Roser Vento-Tormo, Moritz Gerstung, Louisa James, Oliver Stegle and Omer Ali Bayraktar;http://www.nature.com/articles/s41587-021-01139-4;10.1038/s41587-021-01139-4;Cell2location;Python;Bayesian;Estimates reference cell-type signature from sc/snRNAseq with NB regression for robust combination between technology and batches. Then they use a reference signature to deconvolve ST data using approximate variational inference to estimate model parameters.;Yes;untransformed unnormalised spatial mRNA counts. 2 hyperparameters to select for appropriate deconvolution with own data;Yes;Location specific scaling parameter, hierarchical decomposition prior;Reference-based;Gene signature (built-in from scRNA-seq);Gene filtering based on count.Use untransformed RNA count and annotation to estimate Reference signature. Annotation following Seurat standard workflow in example.;Optional;Segmentation to give prior to model;Counts;NB;NB;Batch and platform effect;Clustering of deconvolution output, NMF decomposition, Reconstruction of cell-type specific gene program;Model similarity of locations between cell types, location specific scaling parameter which models variation in RNA detection sensititvity across locations and experiments. ;Real data, Semi-synthetic from SC;Mouse Brain cortex (Visium), Mouse primary somatosensory cortex (Visium), Mouse brain hippocampus (Slide-seq), Human lymph node (Visium),  Adult gut (Visium);stereoscope, RCTD, SPOTlight, Seurat 2, NNLS;2D histogram plots, PCC, JSD, Precision, Recall;https://github.com/BayraktarLab/Cell2location/;https://Cell2location.readthedocs.io/en/latest/index.html;Done.(Lucie);;HARMONISED;;;;
Reconstruction of the tumor spatial microenvironment along the malignant-boundary-nonmalignant axis;February-23;Nature Communications;Zhenzhen Xun, Xinyu Ding, Yao Zhang, Benyan Zhang, Shujing Lai, Duowu Zou, Junke Zheng, Guoqiang Chen, Bing Su, Leng Han and Youqiong Ye;https://www.nature.com/articles/s41467-023-36560-7;10.1038/s41467-023-36560-7;Cottrazm;R;Regression;They mainly extended SpatialDWLS and modified the generation of the binary matrix for PAGE analysis and the selection of cell types to make it more suitable for tumor data. They generate a gene signature based on scRNA-seq data from the corresponding tissue. PAGE method is then used to generate enrichment score matrix (CT x spots). Cut-off values for enrichment are applied to select candidate cell types. Then, two rounds of DWLS are applied to filter the low proportion cell types.;Yes;After image integration,Then follow standard pre-processing with log-normalization with size factor and z-scoring across spots. PCA + clustering in Seurat environment and proceed to detect core spots of malignant cells (out of subject).;Yes;Normalization of data, Manhattan and Euclidian distance;Reference-based;Gene signature (built-in from scRNA-seq);Standard pipeline (likely with Seurat), with cell-type annotation followed by DEG analysis with Wilcoxon Rank Sum test (FindAllMarkers()).Generation of a signature score matrix from each cell type using  25 specifically expressed genes Then an enrichment score matrix (binary) is generated based on marker genes. ;Yes;"Normalization with SME methodology after retrieving spot counts and feature extraction with ResNet50/ImageNet (""morphologically adjusted gene expression matrix"").";Proportions;-;NB ;-;"Delineation of tumor boundary,
Reconstruction of cell-type specific gene program, Cell-cell communication, Boundary enrichment, Integration, Cell type sub-clustering";-;Real data, Semi-synthetic from SC;Human Colorectal cancer (Visium), Human Hepatocellular carcinoma (Visium), Human cholangiocarcinoma (Visium), Human Breast cancer (Visium), Human Ovarian Cancer (Visium), Clear Renal cell carcinoma (Visium), Human Squamous cell carcinoma(Visium);SpatialDWLS, RCTD, CIBERSORTX, STRIDE, SPOTlight, MuSiC, Cell2location, stereoscope;AS, F1, Specificity, SCC, JSD;https://github.com/Yelab2020/Cottrazm;On github;Done.(Lucie);Difficulty to give algorithm class: because it is regression setting, iterative and optimization => Creathed ML class;HARMONISED;;;;
SPOTlight: seeded NMF regression to deconvolute spatial transcriptomics spots with single-cell transcriptomes;May-21;Nucleic Acids Research;Marc Elosua-Bayes, Paula Nieto, Elisabetta Mereu, Ivo Gut and Holger Heyn;https://academic.oup.com/nar/article/49/9/e50/6129341;10.1093/nar/gkab043;SPOTlight;R;Regression;scRNA-seq data (V) is subject to non-smooth NMF (V=WH) after initialization of the topics (column in W) with unique gene markers retrieved from DEG analysis and binary cell-type belongance in H matrix. Then, NNLS regression is applied to map each capture location's transcriptome using W matrix. NNLS is used again to build consensus cell-type specific topic signature to find the weights that best minimize spatial data decomposition residuals.;Yes;Standard pipeline. Input can be raw or normalized;No;-;Reference-based;Gene signature (built-in from scRNA-seq);Standard pipeline with data QC, normalization, scaling and detection of HVG and PCA. Clustering and cell type annotation with gene markers. Input is Unit variance normalization by gene;No;-;Proportions;NB;-;-;-;Big effort of benchmarking across different sources of scRNA-seq data;Real data, Semi-synthetic from SC;Mouse Brain cortex (Visium), Pancreatic ductal adenocarcinoma (ST);MuSiC, SCDC, NMFreg, DEconRNAseq, RCTD, CIBERSORTx, SPOTlight-GoGAPS;AS, F1, Sensitivity, Specificity;https://github.com/MarcElosua/SPOTlight;On github;Done.(Lucie);;HARMONISED;;;;
Estimation of cell lineages in tumors from spatial transcriptomics data;February-23;Nature Communications;Beibei Ru, Jinlin Huang, Yu Zhang, Kenneth Aldape and Peng Jiang;https://www.nature.com/articles/s41467-023-36062-6;10.1038/s41467-023-36062-6;SpaCET;R;Regression;First infers the fraction of malignant cells by clustering spots and correlates clusters with curated cancer type specific gene patterns and within sample correlation. Then, they perform hierarchical deconvolution of non-malignant fraction with NNLS and curated marker genes for immune and stromal cells.;Yes;Normalization to TPM;No;-;Reference-based;Gene signature (built-in from scRNA-seq), List of marker genes;"Here it can be SC or curate reference provided by the method
- For SC: annotation of cell-type following classical workflow and then reference is average expression profile across all cells for a given cell-type in non-log TPM space. Marker genes are defined through limma package.
- Available reference: curated SNP6 array and scRNA-seq from TCGA bulk tumors for cancer signatures";No;-;Proportions;-;-;-;Infer malignant fraction, hierarchical deconvolution, Co-localization, Cell-cell interaction, Functional enrichment;"Method tested with different SC data generated with different technologies. 
Rare model that propose a pre-built reference
Model specific to cancer tissue";Real data, Semi-synthetic from SC;Human Breast cancer (Visium), Human GBM (Visium), Human Ovarian Cancer (Visium), Prostate cancer (Visium), Human Squamous cell carcinoma (Visium), Human colorectal cancer (Slide-seq), Pancreatic ductal adenocarcinoma (ST);SpatialDWLS, RCTD, Cell2location, CIBERSORTx, Tangram, MuSiC, stereoscope, SPOTlight, SCDC, EPIC;ROC AUC, PCC, RMSE;https://github.com/data2intelligence/SpaCET;https://data2intelligence.github.io/SpaCET/index.html;Done.(Lucie);;HARMONISED;;;;
Single-cell and spatial transcriptomics enables probabilistic inference of cell type topography;October-20;Communications Biology;Alma Andersson, Joseph Bergenstråhle, Michaela Asp, Ludvig Bergenstråhle, Aleksandra Jurek, José Fernández Navarro and Joakim Lundeberg;https://www.nature.com/articles/s42003-020-01247-y;10.1038/s42003-020-01247-y;stereoscope;Python;Bayesian;Rests on the primary assumption that both spatial and SC data follow a NB distribution. Reference is learned by Maximum Likelihood estimation and then they find the combination of the cell types that best explains the spatial data. Cell type proportions are taken as the MAP estimate given the observed spatial data.;Yes;Intersection genes between ST and scRNA-seq or complete set of genes used. Spots under tissue or bead with non-zero total counts. (depending on technology);Yes;Location specific scaling parameter;Reference-based;Gene signature (built-in from scRNA-seq);"SC annotation framework
Method is independent of marker gene selection but all tests showcase 5000 top expressed genes (and you may select genes).";No;-;Proportions;NB;NB ;Platform effect;Co-localization;-;Real data, Semi-synthetic from SC;Human developmental heart (Visium), Mouse Brain hippocampus (Visium), Mouse Brain hippocampus (Slide-seq), Mouse Brain cerebellum (Slide seq) ;DWLS,deconvSeq;RMSE with Wilcoxon test;https://github.com/almaan/stereoscope;On github;Done.(Lucie);;HARMONISED;;;;
DSTG: deconvoluting spatial transcriptomics data through graph-based artificial intelligence;September-21;Briefings in Bioinformatics;Qianqian Song and Jing Su;https://academic.oup.com/bib/article/22/5/bbaa414/6105942;10.1093/bib/bbaa414;DSTG;Python;Deep learning;Generates a pseudo ST data from scRNA-seq by selecting top HVG and creating known mixture. Then they learn a link graph between real and pseudo ST by performing dimension reduction with CCA and MNN applied to reduced dimension. Finally, they apply GCN on the link graph and similarity matrix. ;Yes;Library size normalization followed by 10,000 size factor and log1+p transformation. Then, standardization.;No;-;Reference-based;scRNA-seq dataset;Selection of top 2000 HVG and generation of pseudo ST from scRNA-seq by selecting 2 to 8 cells from the datasets and combining their profile. If total number of UMI is above the real data, spots are downsampled accordingly. ;No;-;Proportions ;-;-;Platform effect;-;-;Real data, Semi-synthetic from SC;Mouse Brain Cortex (Visium), Mouse hippocampus (Slide-seq), Pancreatic ductal adenocarcinoma data (ST);SPOTlight;JSD;https://github.com/Su-informatics-lab/DSTG;On github;Done.(Lucie);"Their validation might be biased since they already use pseudo spot in their method (same procedure is used to generate simulated data for validation and the pseudo ST). 
Not sure tutorial are fully understandable
Weird benchmark on PBMC data (?)";HARMONISED;;;;
LANTSA: Landmark-based transferable subspace analysis for single-cell and spatial transcriptomics;March-22;bioRxiv;Chuanchao Zhang, Lequn Wang, Xinxing Li, Wei-Feng Guo, Qianqian Shi and Luonan Chen;https://www.biorxiv.org/content/10.1101/2022.03.13.484116v1;10.1101/2022.03.13.484116;LANTSA;Python;Dimensionality reduction;Uses a landmark strategy: for individual dataset (scRNA-seq or ST), they select a small subset to build a landmark-by-sample representation matrix of the dataset. Then, they rely on label transfer by obtaining optimal projection of the multiple datasets.;Yes;Scanpy workflow;No;-;Reference-based;scRNA-seq dataset;scanpy workflow and annotation;No;-;Probabilities;-;-;Platform effect;Clustering;-;Real data;Human DLPFC (Visium), Mouse Brain sagittal section (Visium);RCTD, scanorama, Seurat, SpatialDWLS, SPOTlight, stereoscope;ARI, AS;https://github.com/zccqq/LANTSA;https://lantsa.readthedocs.io/en/stable/;Done.(Lucie);;NEED HELP FOR CLASSIFICATION;;;;
CellDART: cell type inference by domain adaptation of single-cell and spatial transcriptomic data;June-22;Nucleic Acids Research;Sungwoo Bae, Kwon Joong Na, Jaemoon Koh, Dong Soo Lee, Hongyoon Choi and Young Tae Kim;https://academic.oup.com/nar/article/50/10/e57/6534356?login=true;10.1093/nar/gkac084;CellDART;Python/R;Deep learning;Creates pseudo spots from scRNA-seq data. Then they implement a NN-based algorithm called adversarial discriminative domain adaptation to solve deconvolution.;Yes;Scanpy workflow : only normalize_total. Intersection of genes from spatial with DEG single-cell;No;-;Reference-based;scRNA-seq dataset;Scanpy workflow with log1p normalization and scaling. Extraction of cell types markers by DEA.;No;-;Proportions ;-;-;-;Region-specific cell-type enrichment;-;Real data;Human DLPFC (Visium), Mouse Brain sagittal section (Visium), Mouse hippocampus (Slide-seq), Human lung (Visium);scanorama, Cell2location, RCTD, SPOTlight, Seurat, DSTG;ROC AUC;https://github.com/mexchy1000/CellDART;On github;Done.(Lucie);;HARMONISED;;;;
Spatially informed cell-type deconvolution for spatial transcriptomics;September-22;Nature Biotechnology;Ying Ma and Xiang Zhou;https://www.nature.com/articles/s41587-022-01273-7;10.1038/s41587-022-01273-7;CARD;R;Matrix factorization;Starting with reference of cell type with informative genes, performs a NMF model with conditionnal autoregressive modeling of the factors/cell-types locations.;Yes;Raw counts with locations;Yes;Conditional autoregressive model, Spatial autocorrelation;Both;Gene signature (built-in from scRNA-seq), List of marker genes;Construction of reference matrix by 1)intersection with spatial, 2) DEG with mean expression level of at least 1.25 log-fold higher compared to all other cell types, and 3) removing outliers (dispersion);No;-;Proportions;-;-;-;Imputation for unseen locations;There is CARD-free module which requires the list of marker genes;Real data, Semi-synthetic from SC;Mouse oflactory bulb (ST), Mouse oflactory bulb (Slide-seq), Mouse oflactory bulb (Visium),Pancreatic ductal adenocarcinoma (ST), Mouse hippocampus (Slide-seq), Mouse hippocampus (Visium);MuSiC, SPOTlight, RCTD, Cell2location, SpatialDWLS and stereoscope;RMSE, PCC, SCC, Moran's I, Geary's C;https://github.com/YMa-lab/CARD;https://yma-lab.github.io/CARD/;Done.(Lucie);;HARMONISED;;;;
SD2: spatially resolved transcriptomics deconvolution through integration of dropout and spatial information;September-22;Bioinformatics;Haoyang Li, Hanmin Li, Juexiao Zhou and Xin Gao;https://academic.oup.com/bioinformatics/article/38/21/4878/6692424;10.1093/bioinformatics/btac605;SD2;Python/R;Deep learning;First identifies drop out genes and fits Michaelis-Menten function to model relationship between mean expression and drop out rate. Then, they generate pseudo ST from scRNA-seq data with MCMC sampling. With an auto-encoder, they create a co-embedding of ST and pseudo-spot to build graph on low dimensional space where edges are defined at transcriptional (MNN) and spatial level (horizontal distance). Finally, they use GCN.;Yes;Library size normalization and multiplication by size factor of 10000 and model drop out to select informative features.;Yes;Spatial graph, Adjacency matrix;Reference-based;scRNA-seq dataset;Classic worfklow to annotate. Uses scRNA-seq to build pseudo-ST with MCMC sampling and model drop out to select informative features.;No;-;Probabilities, Proportions;-;-;-;-;"Ablation study: exploration of the conribution of the different modules of SD2 to the performance of the model
Probabilities treated as proportions (soft-max activation function to normalize output of GCN)";Real data, Semi-synthetic from ST;"
Mouse Brain cortex (Visium), Mouse kidney (Visium), Pancreatic ductal adenocarcinoma (Visium)";SPOTlight, DSTG, Cell2location;RMSE, JSD;https://github.com/leihouyeung/SD2;On github;Done.(Lucie);Not a lot of documentation;HARMONISED;;;;
