"","Reference.based...Reference.free","ST.coordinates","Image","Reference","Category","Method.name","ST.coordinates.integration","Image.integration"
"45","Reference-based","Yes","Yes","Gene signature (built-in from scRNA-seq)","Regression","SPADE","Spatial clustering with SpaGCN","Spatial clustering with SpaGCN integrates image"
"26","Reference-free","No","No","-","Bayesian","RETROFIT","-","-"
"50","Reference-free","No","No","-","Bayesian","STdeconvolve","-","-"
"36","Reference-free","No","No","-","Dimensionality reduction","CellsFromSpace","-","-"
"27","Reference-free","No","No","List of marker genes","Bayesian","SMART","-","-"
"54","Reference-free","No","Yes","-","Deep learning","scResolve","-","Pixel-level gene expression inference with Xfuse from the image, cell segmentation."
"2","Reference-free","No","Yes","-","Dimensionality reduction","CellPie","-","NMF on the image matrices. It is computed jointly with NMF on ST data (they share the same W matrix)."
"10","Reference-free","No","Yes","List of marker genes","Bayesian","Celloscope","-","Segmentation to give prior to model and eventually domains"
"63","Reference-free","Yes","No","-","Dimensionality reduction","SpiceMix","Uses the Hidden Markov Random Field, allowing the latent states to be continous, which captures different types of correlations between nearby cells. The user can set a regularization hyperparametes to control the importance of the spatial relationships during inference to suit the dataset of interest.","-"
"31","Reference-free","Yes","Yes","-","Deep learning","TransformerST","Formation of a spot-to-spot correlation graph. The adaptive graph transformer approach identifies tissue types by amalgamating spatial gene expression, spatial relationships and histology images, while also employing an adaptive parameter learning step to explore better the relationship between spatial gene features and graph neighboring dependence.","The histology image is used to extract morphological features with a Vision Transformer. It allows to capture complex structure–functional relationships."
"11","Reference-free","Yes","Yes","-","Dimensionality reduction","FAST","Adjacency matrix, Graph laplacian matrix","Compute euclidian distance of histology images by measuring the difference in median internsities over sub-regions in grey scale. Sub-regions can be tailored by users (here they use 5-by-5 squre and 25 spots). "
"18","Both","No","No","Gene signature (built-in from scRNA-seq)","Deep learning","UniCell Deconvolve","-","-"
"15","Both","No","Optional","List of marker genes (built-in from ST and/or provided)","Bayesian","Starfysh","-","Integrates histology to correct for artifacts in transcriptomic measurements. A product of experts calculates the joint posterior distribution for gene expression and images."
"52","Both","No","Yes","Gene signature (built-in from scRNA-seq)","Bayesian","STIE","-","Extract information from nuclear morphology-based cell typing to refine gene expression-based cell type proportion estimation"
"8","Both","Yes","No","Gene signature (built-in from scRNA-seq)","Bayesian","MUSTANG","Adjacency matrix","-"
"30","Both","Yes","No","Gene signature (built-in from scRNA-seq)","Bayesian","BayesTME","Spatial smoothing hyperparameter, ","-"
"59","Both","Yes","No","Gene signature (built-in from scRNA-seq), List of marker genes","Dimensionality reduction","CARD","Conditional autoregressive model, Spatial autocorrelation","-"
